ID	Gene Name	Species	OFFICIAL_GENE_SYMBOL
ENSMUSG00000014956	protein phosphatase 1, catalytic subunit, beta isoform	Mus musculus	PPP1CB,
ENSMUSG00000046062	protein phosphatase 1, regulatory (inhibitor) subunit 15b	Mus musculus	PPP1R15B,
ENSMUSG00000029147	protein phosphatase 1G (formerly 2C), magnesium-dependent, gamma isoform	Mus musculus	Ppm1g,
ENSMUSG00000041769	protein phosphatase 2, regulatory subunit B, delta isoform	Mus musculus	ppp2r2d,
ENSMUSG00000026753	protein phosphatase 6, catalytic subunit	Mus musculus	PPP6C,
ENSMUSG00000038943	protein regulator of cytokinesis 1	Mus musculus	prc1,
ENSMUSG00000031155	proviral integration site 2	Mus musculus	Pim2,
ENSMUSG00000035828	proviral integration site 3	Mus musculus	PIM3,
ENSMUSG00000039987	putative homeodomain transcription factor 2	Mus musculus	phtf2,
ENSMUSG00000007815	ras homolog gene family, member A; similar to aplysia ras-related homolog A2; predicted gene 12844	Mus musculus	Gm12844,LOC631743,Rhoa,
ENSMUSG00000054364	ras homolog gene family, member B	Mus musculus	RHOB,
ENSMUSG00000040446	regulation of nuclear pre-mRNA domain containing 1A	Mus musculus	Rprd1a,
ENSMUSG00000059810	regulator of G-protein signaling 3	Mus musculus	rgs3,
ENSMUSG00000022951	regulator of calcineurin 1	Mus musculus	RCAN1,
ENSMUSG00000035469	regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 1	Mus musculus	RCBTB1,
ENSMUSG00000028896	regulator of chromosome condensation 1	Mus musculus	rcc1,
ENSMUSG00000040945	regulator of chromosome condensation 2; hypothetical protein LOC100047340	Mus musculus	LOC100047340,RCC2,
ENSMUSG00000023104	replication factor C (activator 1) 2	Mus musculus	RFC2,
ENSMUSG00000022881	replication factor C (activator 1) 4	Mus musculus	RfC4,
ENSMUSG00000022105	retinoblastoma 1	Mus musculus	RB1,
ENSMUSG00000057236	retinoblastoma binding protein 4	Mus musculus	RBBP4,
ENSMUSG00000041238	retinoblastoma binding protein 8	Mus musculus	RBBP8,
ENSMUSG00000027641	retinoblastoma-like 1 (p107)	Mus musculus	Rbl1,
ENSMUSG00000031666	retinoblastoma-like 2	Mus musculus	RBL2,
ENSMUSG00000028059	rho/rac guanine nucleotide exchange factor (GEF) 2	Mus musculus	Arhgef2,
ENSMUSG00000030978	ribonucleotide reductase M1	Mus musculus	Rrm1,
ENSMUSG00000020649	ribonucleotide reductase M2	Mus musculus	rrm2,
ENSMUSG00000031309	ribosomal protein S6 kinase polypeptide 3	Mus musculus	Rps6ka3,
ENSMUSG00000020516	ribosomal protein S6 kinase, polypeptide 1	Mus musculus	RPS6KB1,
ENSMUSG00000024042	salt inducible kinase 1	Mus musculus	Sik1,
ENSMUSG00000026662	selenophosphate synthetase 1	Mus musculus	sephs1,
ENSMUSG00000000486	septin 1	Mus musculus	SEPT1,
ENSMUSG00000019917	septin 10	Mus musculus	SEPT10,
ENSMUSG00000058013	septin 11	Mus musculus	sept11,
ENSMUSG00000026276	septin 2	Mus musculus	SEPT2,
ENSMUSG00000020486	septin 4	Mus musculus	Sept4,
ENSMUSG00000050379	septin 6	Mus musculus	Sept6,
ENSMUSG00000001833	septin 7	Mus musculus	SEPT7,
ENSMUSG00000018398	septin 8	Mus musculus	SEPT8,
ENSMUSG00000059248	septin 9	Mus musculus	Sept9,
ENSMUSG00000020272	serine/threonine kinase 10	Mus musculus	STK10,
ENSMUSG00000003068	serine/threonine kinase 11	Mus musculus	STK11,
ENSMUSG00000026094	serine/threonine kinase 17b (apoptosis-inducing)	Mus musculus	STK17B,
ENSMUSG00000036840	seven in absentia 1A	Mus musculus	Siah1a,
ENSMUSG00000036432	seven in absentia 2	Mus musculus	Siah2,
ENSMUSG00000023940	shugoshin-like 1 (S. pombe)	Mus musculus	sgol1,
ENSMUSG00000026039	shugoshin-like 2 (S. pombe)	Mus musculus	SGOL2,
ENSMUSG00000002014	signal sequence receptor, delta	Mus musculus	Ssr4,
ENSMUSG00000026104	signal transducer and activator of transcription 1	Mus musculus	STAT1,
ENSMUSG00000026960	similar to ADP-ribosylation-like factor 6-interacting protein 6; ADP-ribosylation factor-like 6 interacting protein 6	Mus musculus	ARL6IP6,LOC674449,
ENSMUSG00000031878	similar to Amyloid beta precursor protein binding protein 1; NEDD8 activating enzyme E1 subunit 1	Mus musculus	LOC100047393,Nae1,
ENSMUSG00000006728	similar to Cell division protein kinase 4 (Cyclin-dependent kinase 4) (PSK-J3) (CRK3); cyclin-dependent kinase 4	Mus musculus	Cdk4,LOC640611,
ENSMUSG00000034165	similar to Cyclin D3; cyclin D3	Mus musculus	CCND3,Ccnd3-ps,
ENSMUSG00000073802	similar to Cyclin-dependent kinase 4 inhibitor B (p14-INK4b) (p15-INK4b); cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)	Mus musculus	cdkn2b,LOC100047564,
ENSMUSG00000062248	similar to Cyclin-dependent kinases regulatory subunit 2 (CKS-2); CDC28 protein kinase regulatory subunit 2; predicted gene 15452	Mus musculus	CKS2,Gm15452,LOC100044750,LOC100046104,
ENSMUSG00000033502	similar to Dual specificity protein phosphatase CDC14A (CDC14 cell division cycle 14 homolog A); CDC14 cell division cycle 14 homolog A (S. cerevisiae)	Mus musculus	CDC14A,LOC636856,
ENSMUSG00000032309	similar to F-box only protein 22; F-box protein 22	Mus musculus	Fbxo22,LOC638117,
ENSMUSG00000045969	similar to ING1 protein; inhibitor of growth family, member 1	Mus musculus	ing1,LOC100045040,
ENSMUSG00000028678	similar to Kinesin-like protein KIF2C (Mitotic centromere-associated kinesin) (MCAK); kinesin family member 2C	Mus musculus	KIF2C,LOC631653,
ENSMUSG00000026974	similar to MCH-R interacting zinc-finger protein; zinc finger, MYND domain containing 19	Mus musculus	LOC100046761,zmynd19,
ENSMUSG00000042688	similar to Mitogen-activated protein kinase 6 (Extracellular signal-regulated kinase 3) (ERK-3); predicted gene 2587; mitogen-activated protein kinase 6; similar to Mapk6 protein	Mus musculus	Gm2587,LOC100046304,LOC633311,MAPK6,
ENSMUSG00000026683	similar to Nuf2 protein; NUF2, NDC80 kinetochore complex component, homolog (S. cerevisiae)	Mus musculus	LOC100048203,NUF2,
ENSMUSG00000020525	similar to Protein phosphatase 1D magnesium-dependent, delta; protein phosphatase 1D magnesium-dependent, delta isoform	Mus musculus	LOC100045551,PPM1D,
ENSMUSG00000021395	similar to Spindlin 1; spindlin 1; spindlin family, member 3	Mus musculus	LOC100046080,spin1,Spin3,
ENSMUSG00000037013	similar to Ss18 protein; synovial sarcoma translocation, Chromosome 18	Mus musculus	Gm1826,SS18,
ENSMUSG00000024943	similar to Structural maintenance of chromosomes 5; structural maintenance of chromosomes 5	Mus musculus	LOC100047562,smc5,
ENSMUSG00000031371	similar to UCH37-interacting protein 1; HAUS augmin-like complex, subunit 7	Mus musculus	haus7,LOC100048005,
ENSMUSG00000074802	similar to growth arrest-specific 2 like 3; growth arrest-specific 2 like 3	Mus musculus	GAS2L3,LOC100047967,
ENSMUSG00000035351	similar to nucleoporin 37; nucleoporin 37	Mus musculus	LOC634555,NUP37,
ENSMUSG00000018362	similar to ribosomal protein L38; predicted gene 13020; ribosomal protein L38; predicted gene 4991; karyopherin (importin) alpha 2; predicted gene 9028; predicted gene 8129; predicted gene 7123; predicted gene 5832; predicted gene 10184; predicted gene 7379; predicted gene 10259	Mus musculus	Gm10184,Gm10259,Gm13020,Gm4991,Gm5832,Gm7123,Gm7379,Gm8129,Gm9028,KPNA2,LOC674727,RPL38,
ENSMUSG00000029910	similar to spindle assembly checkpoint protein; MAD2 mitotic arrest deficient-like 1 (yeast)	Mus musculus	LOC100045924,Mad2l1,
ENSMUSG00000041997	similar to tousled-like kinase 1; tousled-like kinase 1	Mus musculus	LOC100046241,Tlk1,
ENSMUSG00000031386	similar to transcription factor C1 (HCF); host cell factor C1	Mus musculus	Hcfc1,LOC100046048,
ENSMUSG00000026064	similar to tyrosine phosphatase; predicted gene 8783; predicted gene 15801; predicted gene 5951; protein tyrosine phosphatase 4a1; similar to killer cell lectin-like receptor subfamily A member 2	Mus musculus	Gm15801,Gm5951,Gm8783,LOC100044642,LOC100044742,ptp4a1,
ENSMUSG00000078656	similar to vacuolar protein sorting 25; vacuolar protein sorting 25 (yeast)	Mus musculus	LOC100044649,vps25,
ENSMUSG00000009907	similar to vacuolar protein sorting 4b; vacuolar protein sorting 4b (yeast)	Mus musculus	LOC675056,VPS4B,
ENSMUSG00000031609	sin3 associated polypeptide	Mus musculus	SAP30,
ENSMUSG00000015149	sirtuin 2 (silent mating type information regulation 2, homolog) 2 (S. cerevisiae)	Mus musculus	Sirt2,
ENSMUSG00000016257	slowmo homolog 2 (Drosophila)	Mus musculus	slmo2,
ENSMUSG00000042303	small G protein signaling modulator 3	Mus musculus	SGSM3,
ENSMUSG00000020439	smoothelin	Mus musculus	smtn,
ENSMUSG00000005360	solute carrier family 1 (glial high affinity glutamate transporter), member 3	Mus musculus	SLC1A3,
ENSMUSG00000037344	solute carrier family 12 (potassium/chloride transporters), member 9	Mus musculus	SLC12A9,
ENSMUSG00000025986	solute carrier family 39 (zinc transporter), member 10	Mus musculus	SLC39A10,
ENSMUSG00000024068	spastin	Mus musculus	SPAST,
ENSMUSG00000020315	spectrin beta 2	Mus musculus	Spnb2,
ENSMUSG00000002055	sperm associated antigen 5	Mus musculus	SPAG5,
ENSMUSG00000027959	spindle assembly 6 homolog (C. elegans)	Mus musculus	Sass6,
ENSMUSG00000004642	stem-loop binding protein; predicted gene 8396	Mus musculus	Gm8396,Slbp,
ENSMUSG00000025144	stimulated by retinoic acid 13	Mus musculus	STRA13,
ENSMUSG00000037286	stromal antigen 1	Mus musculus	STAG1,
ENSMUSG00000025862	stromal antigen 2	Mus musculus	STAG2,
ENSMUSG00000036928	stromal antigen 3	Mus musculus	STAG3,
ENSMUSG00000041133	structural maintenance of chromosomes 1A	Mus musculus	Smc1a,
ENSMUSG00000022432	structural maintenance of chromosomes 1B	Mus musculus	SMC1B,
ENSMUSG00000028312	structural maintenance of chromosomes 2	Mus musculus	SMC2,
ENSMUSG00000034349	structural maintenance of chromosomes 4	Mus musculus	SMC4,
ENSMUSG00000061838	succinate-Coenzyme A ligase, GDP-forming, beta subunit	Mus musculus	suclg2,
ENSMUSG00000039231	suppressor of variegation 3-9 homolog 1 (Drosophila)	Mus musculus	Suv39h1,
ENSMUSG00000026646	suppressor of variegation 3-9 homolog 2 (Drosophila)	Mus musculus	suv39h2,
ENSMUSG00000025480	synaptonemal complex central element protein 1	Mus musculus	SYCE1,
ENSMUSG00000003824	synaptonemal complex central element protein 2	Mus musculus	Syce2,
ENSMUSG00000027855	synaptonemal complex protein 1; similar to testicular protein	Mus musculus	LOC100045404,Sycp1,
ENSMUSG00000020059	synaptonemal complex protein 3	Mus musculus	Sycp3,
ENSMUSG00000020781	tRNA splicing endonuclease 54 homolog (S. cerevisiae)	Mus musculus	TSEN54,
ENSMUSG00000031529	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase	Mus musculus	tnks,
ENSMUSG00000025925	telomeric repeat binding factor 1	Mus musculus	TERF1,
ENSMUSG00000031921	telomeric repeat binding factor 2	Mus musculus	TERF2,
ENSMUSG00000010342	testis expressed gene 14	Mus musculus	Tex14,
ENSMUSG00000040943	tet oncogene family member 2	Mus musculus	TET2,
ENSMUSG00000038393	thioredoxin interacting protein	Mus musculus	TXNIP,
ENSMUSG00000031723	thioredoxin-like 4B	Mus musculus	Txnl4b,
ENSMUSG00000025747	thymidylate synthase	Mus musculus	Tyms,
ENSMUSG00000021569	thyroid hormone receptor interactor 13	Mus musculus	Trip13,
ENSMUSG00000039994	timeless homolog (Drosophila)	Mus musculus	TIMELESS,
ENSMUSG00000032397	timeless interacting protein	Mus musculus	TIPIN,
ENSMUSG00000001131	tissue inhibitor of metalloproteinase 1	Mus musculus	TIMP1,
ENSMUSG00000032555	topoisomerase (DNA) II binding protein 1	Mus musculus	TOPBP1,
ENSMUSG00000032411	transcription factor Dp 2	Mus musculus	tfdp2,
ENSMUSG00000037573	transducer of ErbB-2.1	Mus musculus	Tob1,
ENSMUSG00000059552	transformation related protein 53	Mus musculus	Trp53,
ENSMUSG00000026510	transformation related protein 53 binding protein 2	Mus musculus	Trp53bp2,
ENSMUSG00000029026	transformation related protein 73	Mus musculus	Trp73,
ENSMUSG00000011114	transforming growth factor beta regulated gene 1	Mus musculus	TBRG1,
ENSMUSG00000035493	transforming growth factor, beta induced	Mus musculus	tgfbi,
ENSMUSG00000065954	transforming, acidic coiled-coil containing protein 1	Mus musculus	TACC1,
ENSMUSG00000037313	transforming, acidic coiled-coil containing protein 3	Mus musculus	TACC3,
ENSMUSG00000024666	transmembrane protein 138	Mus musculus	tmem138,
ENSMUSG00000024754	transmembrane protein 2	Mus musculus	Tmem2,
ENSMUSG00000032783	trophinin associated protein	Mus musculus	TROAP,
ENSMUSG00000032366	tropomyosin 1, alpha	Mus musculus	TPM1,
ENSMUSG00000058672	tubulin, beta 2A	Mus musculus	Tubb2a,
ENSMUSG00000036752	tubulin, beta 2c, psuedogene 1; tubulin, beta 2C; tubulin, beta 2c, pseudogene 2	Mus musculus	TUBB2C,Tubb2c-ps1,Tubb2c-ps2,
ENSMUSG00000014402	tumor susceptibility gene 101	Mus musculus	Tsg101,
ENSMUSG00000018965	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide	Mus musculus	YWHAH,
ENSMUSG00000037487	ubiquitin protein ligase E3 component n-recognin 5	Mus musculus	UBR5,
ENSMUSG00000041712	ubiquitin protein ligase E3 component n-recognin 7 (putative)	Mus musculus	ubr7,
ENSMUSG00000025616	ubiquitin specific peptidase 16	Mus musculus	USP16,
ENSMUSG00000028560	ubiquitin specific peptidase 1; predicted gene 5841	Mus musculus	Gm5841,usp1,
ENSMUSG00000032010	ubiquitin specific peptidase 2	Mus musculus	USP2,
ENSMUSG00000042506	ubiquitin specific peptidase 22	Mus musculus	USP22,
ENSMUSG00000032376	ubiquitin specific peptidase 3	Mus musculus	usp3,
ENSMUSG00000033364	ubiquitin specific peptidase 37	Mus musculus	USP37,
ENSMUSG00000020020	ubiquitin specific peptidase 44	Mus musculus	usp44,
ENSMUSG00000027363	ubiquitin specific peptidase 8	Mus musculus	usp8,
ENSMUSG00000031010	ubiquitin specific peptidase 9, X chromosome	Mus musculus	USP9X,
ENSMUSG00000001403	ubiquitin-conjugating enzyme E2C; predicted gene 8956	Mus musculus	Gm8956,UBE2C,
ENSMUSG00000026429	ubiquitin-conjugating enzyme E2T (putative)	Mus musculus	Ube2t,
ENSMUSG00000001687	ubiquitin-like 3	Mus musculus	ubl3,
ENSMUSG00000030061	ubiquitin-like modifier activating enzyme 3	Mus musculus	uba3,
ENSMUSG00000024817	ubiquitin-like, containing PHD and RING finger domains 2	Mus musculus	UHRF2,
ENSMUSG00000001228	ubiquitin-like, containing PHD and RING finger domains, 1; predicted gene 5648; similar to nuclear zinc finger protein Np95	Mus musculus	Gm5648,LOC100047319,UHRF1,
ENSMUSG00000029591	uracil DNA glycosylase	Mus musculus	ung,
ENSMUSG00000034485	uveal autoantigen with coiled-coil domains and ankyrin repeats	Mus musculus	uaca,
ENSMUSG00000008859	v-ral simian leukemia viral oncogene homolog A (ras related)	Mus musculus	RALA,
ENSMUSG00000004451	v-ral simian leukemia viral oncogene homolog B (ras related)	Mus musculus	RALB,
ENSMUSG00000021115	vaccinia related kinase 1	Mus musculus	VRK1,
ENSMUSG00000053119	vacuolar protein sorting 24 (yeast); predicted gene 7464	Mus musculus	Gm7464,VPS24,
ENSMUSG00000031913	vacuolar protein sorting 4a (yeast)	Mus musculus	vps4a,
ENSMUSG00000027860	vang-like 1 (van gogh, Drosophila); similar to loop-tail protein 2	Mus musculus	LOC100046586,VANGL1,
ENSMUSG00000031520	vascular endothelial growth factor C	Mus musculus	VEGFC,
ENSMUSG00000078762	vomeronasal 2, receptor 53; predicted gene 8146; gene model 398, (NCBI); vomeronasal 2, receptor 54; HAUS augmin-like complex, subunit 5	Mus musculus	Gm398,Gm8146,HAUS5,Vmn2r53,Vmn2r54,
ENSMUSG00000041408	wings apart-like homolog (Drosophila)	Mus musculus	WAPAL,
ENSMUSG00000026469	xenotropic and polytropic retrovirus receptor 1	Mus musculus	XPR1,
ENSMUSG00000030145	zinc finger protein 248	Mus musculus	Zfp248,
ENSMUSG00000044934	zinc finger protein 367	Mus musculus	Zfp367,
ENSMUSG00000073423	zinc finger protein 414	Mus musculus	Zfp414,
ENSMUSG00000046010	zinc finger protein 830	Mus musculus	Zfp830,
ENSMUSG00000039130	zinc finger, C3HC type 1	Mus musculus	zc3hc1,
ENSMUSG00000066440	zinc finger, FYVE domain containing 26	Mus musculus	ZFYVE26,
ENSMUSG00000031310	zinc finger, MYM-type 3	Mus musculus	ZMYM3,
